wc_id,type,parent_id,sku,meta,status,name
2000,simple,"",RMD.211,20345,publish,"Romed Manikin Wipes (110 Wipes)"
2001,simple,"",M3863A,10275,publish,"Philips FR2 Battery"
2002,simple,"",99512-001273,10189FR,publish,"Physio Control Lifepak CR2 USB Semi- Automatic"
2004,simple,"",125-000247-00,21304,publish,"Mindray Beneheart C2 AED Trainer"
2010,simple,"",70.112,70112,publish,"Arky Safeset"
2016,simple,"",143700,90242,publish,"Resusci Baby Airway (pkg. 24)"
2018,simple,"",90264,90264,publish,"Little Anne QCPR Jacket 123-50050"
2044,simple,"",M5076A,10596,publish,"Philips Heartstart HS1 Case"
2045,simple,"",989803139251,10591,publish,"Philips Heartstart FRx Case"
2046,simple,"",70182,70182,publish,"Heartsine 350P, 360P en 500P Bag"
2047,simple,"",10315,10315,publish,"Heartsine Remote control for 350P Trainer"
2048,simple,"",10317,10317,publish,"Heartsine Remote control for 500P Trainer"
2049,simple,"",880061,90923,publish,"LAERDAL SUCTION UNIT 4 300ML"
2050,simple,"",152401,92042,publish,"Laerdal Manikin Wipes (pkg. 1200) 152401"
2065,simple,"",135-15050,93090,publish,"Little Anne Face Skin Light 6-pack"
2066,simple,"",135-14050,93091,publish,"Little Anne Face Skin Dark 6-pack"
2102,simple,"",8900-0800-01,10299,publish,"ZOLL CPR-D Padz Incl. Safeset"
2103,simple,"",100-000206-00,21301,publish,"Universal Training Electrodes II (5 sets)"
2104,simple,"",115-026737-00,10437,publish,"Mindray D1 Battery"
2289,simple,"",10.0315.010,60251,publish,"Rotaid Solid heat outdoor"
2291,simple,"",10.0305.010,60250,publish,"Rotaid Solid indoor"
2293,simple,"",10.0400.010,60249,publish,"Rotaid 24/7 outdoor"
2297,simple,"",80.5000,602505,publish,"Rotaid 5-year software all-in license"
2299,simple,"",30.9001,60253,publish,"Rotaid Totem met zonnedak"
2301,simple,"",40.2000,60255,publish,"Rotaid heating pad for Solid Plus cabinets"
2303,simple,"",95.3000,95.3000,publish,"Rotaid transformer 24V met power cord"
3071,simple,"",60212,60212,publish,"ARKY outdoor cabinet with aluminium inlay and alarm"
3073,simple,"",60123,60123,publish,"ARKY green metal indoor cabinet with alarm and ILCOR AED logos"
3076,simple,"",60.111,60111,publish,"ARKY white metal indoor cabinet"
3077,simple,"",60.121,60121,publish,"ARKY green metal indoor cabinet"
3082,simple,"",60.611,60611,publish,"First Aid backpak YELLOW LARGE RED"
3093,simple,"",30111,30111,publish,"Evacusafe Excel Evacuation Chair"
3096,simple,"",30112,30112,publish,"Evacusafe Premium Evacuslider"
3098,simple,"",30113,30113,publish,"Evacusafe Tri-Wheel Transit Chair"
3100,simple,"",30114,30114,publish,"Evacusafe Transit Chair (4 Wheel)"
3112,simple,"",KSA0502,50023,publish,"Bexen cardio Reanibex 100 electrodes"
3114,simple,"",DJS3000,50022,publish,"Bexen cardio Reanibex 100 battery"
3495,simple,"",90920,90920,publish,"Laerdal Manikin Wipes 50 pc (152400)"
3551,simple,"",SAT.001,70113,publish,"Fingertip Pulse Oximeter type M70"
3592,simple,"",60707,60707,publish,"AIVIA 200 V3 – Heated outdoor cabinet for AED (without lock)"
3593,simple,"",60708,60708,publish,"AIVIA 210 V3 – Heated outdoor cabinet for AED (with PIN code lock)"
3672,simple,"",PP-VALB-50,PP-VALB-50,private,"PRESTAN Replacement Lung Bags Adult with Valve — 50-Pack"
3673,simple,"",PP-VAPLB-50,PP-VAPLB-50,private,"PRESTAN PRO+ Adult Series 2000 Ventilation Lung Bags — 50-Pack"
3701,simple,"",RPP-ACASE2-1,RPP-ACASE2-1,private,"Dual-Graphic Training Pads Storage Case for PRESTAN AED Trainer"
4018,simple,"",PP-JTM-100M-MS,PP-JTM-100M-MS,private,"PRESTAN Jaw Thrust CPR Manikin with CPR Feedback (Single)"
